iter	Passed	Remaining
852	24816	4276
853	24844	4247
854	24875	4218
855	24901	4189
856	24928	4159
857	24954	4129
858	24981	4100
859	25009	4071
860	25038	4042
861	25065	4012
862	25091	3983
863	25119	3954
864	25147	3924
865	25175	3895
866	25203	3866
867	25231	3837
868	25260	3808
869	25287	3778
870	25316	3749
871	25342	3719
872	25369	3690
873	25396	3661
874	25425	3632
875	25452	3602
876	25479	3573
877	25506	3544
878	25534	3514
879	25561	3485
880	25586	3456
881	25613	3426
882	25641	3397
883	25670	3368
884	25697	3339
885	25725	3310
886	25750	3280
887	25777	3251
888	25804	3221
889	25830	3192
890	25857	3163
891	25885	3134
892	25912	3104
893	25938	3075
894	25965	3046
895	25993	3017
896	26021	2987
897	26049	2958
898	26077	2929
899	26104	2900
900	26131	2871
901	26158	2842
902	26186	2812
903	26213	2783
904	26239	2754
905	26265	2725
906	26293	2696
907	26321	2666
908	26347	2637
909	26375	2608
910	26402	2579
911	26429	2550
912	26458	2521
913	26483	2491
914	26509	2462
915	26536	2433
916	26563	2404
917	26591	2375
918	26619	2346
919	26646	2317
920	26672	2287
921	26698	2258
922	26723	2229
923	26749	2200
924	26776	2171
925	26803	2141
926	26828	2112
927	26858	2083
928	26885	2054
929	26912	2025
930	26938	1996
931	26965	1967
932	26993	1938
933	27021	1909
934	27049	1880
935	27076	1851
936	27104	1822
937	27132	1793
938	27159	1764
939	27188	1735
940	27215	1706
941	27245	1677
942	27272	1648
943	27300	1619
944	27326	1590
945	27351	1561
946	27378	1532
947	27406	1503
948	27435	1474
949	27461	1445
950	27489	1416
951	27516	1387
952	27546	1358
953	27572	1329
954	27599	1300
955	27629	1271
956	27666	1243
957	27701	1214
958	27736	1185
959	27771	1157
960	27803	1128
961	27838	1099
962	27871	1070
963	27900	1041
964	27930	1013
965	27963	984
966	27990	955
967	28021	926
968	28049	897
969	28076	868
970	28104	839
971	28131	810
972	28160	781
973	28189	752
974	28217	723
975	28246	694
976	28276	665
977	28304	636
978	28333	607
979	28361	578
980	28387	549
981	28414	520
982	28446	491
983	28476	463
984	28503	434
985	28534	405
986	28568	376
987	28596	347
988	28625	318
989	28651	289
990	28679	260
991	28708	231
992	28736	202
993	28761	173
994	28789	144
995	28818	115
996	28847	86
997	28875	57
998	28901	28
999	28929	0
